record_id,docket_entry,attachment_number,filed_date_iso,filed_date_display,docket_description,document_label,document_type,availability_status,local_present,page_count_exact,pacer_billable_pages_estimate,page_count_note,local_filename,local_path,local_file_uri,size_bytes,sha256,sha1,md5,pdf_encrypted,pdf_title,pdf_author,pdf_subject,pdf_creator,pdf_producer,pdf_creation_date,pdf_modified_date,pdf_read_error,best_available_pdf_url,recap_pdf_url,internet_archive_url,courtlistener_document_url,pacer_pdf_url,pacer_price_display,pacer_price_usd,courtlistener_source_page,courtlistener_source_row_index,source_docket_url,inventory_generated_at_utc
0008,8,0,2024-07-26,"Jul 26, 2024","Notice of Request by Pro Hac Vice Peter A. Barile III to receive Notices of Electronic Filings. ( Pro Hac Vice fee $ 250 receipt number ANJDC-15546436.) (ST. PHILLIP, PETER) (Entered: 07/26/2024)",Main Document,Notice of Pro Hac Vice to Receive NEF,PACER_ONLY_MISSING,False,,,Price not displayed; page count unknown.,,,,,,,,,,,,,,,,,https://ecf.njd.uscourts.gov/doc1/119021581484?caseid=550383,,,,https://ecf.njd.uscourts.gov/doc1/119021581484?caseid=550383,,,1,26,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/,2026-08-25T14:42:59+00:00
0009,9,0,2024-07-29,"Jul 29, 2024",,Main Document,Notice of Appearance,PACER_ONLY_MISSING,False,,,Price not displayed; page count unknown.,,,,,,,,,,,,,,,,,https://ecf.njd.uscourts.gov/doc1/119021585988?caseid=550383,,,,https://ecf.njd.uscourts.gov/doc1/119021585988?caseid=550383,,,1,27,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/,2026-08-25T14:42:59+00:00
0010,10,0,2024-07-29,"Jul 29, 2024",,Main Document,Notice of Appearance,PACER_ONLY_MISSING,False,,,Price not displayed; page count unknown.,,,,,,,,,,,,,,,,,https://ecf.njd.uscourts.gov/doc1/119021588231?caseid=550383,,,,https://ecf.njd.uscourts.gov/doc1/119021588231?caseid=550383,,,1,28,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/,2026-08-25T14:42:59+00:00
0121,121,0,2025-09-19,"Sep 19, 2025","Transcript of Initial Case Management Conference held on September 16, 2025, before Magistrate Judge Leda Dunn Wettre & Judge Julien Xavier Neals. Court Reporter: Melissa Mormile (973-776-7710). NOTICE REGARDING (1) REDACTION OF PERSONAL IDENTIFIERS IN TRANSCRIPTS AND (2) MOTION TO REDACT AND SEAL: The parties have seven (7) calendar days to file with the Court a Notice of Intent to Request Redaction of this Transcript to comply with Fed.R.Civ.P.5.2(a) (personal identifiers). Parties seeking to redact and seal this Transcript, or portions thereof, pursuant to L.Civ.R. 5.3(g) must e-file a Motion to Redact and Seal utilizing the event `Redact and Seal Transcript/Digital Recording`. Redaction Request to Court Reporter due, but not filed, by 10/10/2025. Redacted Transcript Deadline set for 10/20/2025. Release of Transcript Restriction set for 12/18/2025. (adc) (Entered: 09/30/2025)",Main Document,Transcript,PACER_ONLY_MISSING,False,,,Price not displayed; page count unknown.,,,,,,,,,,,,,,,,,https://ecf.njd.uscourts.gov/doc1/119023092144?caseid=550383,,,,https://ecf.njd.uscourts.gov/doc1/119023092144?caseid=550383,,,1,140,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/,2026-08-25T14:42:59+00:00
0181,181,0,2026-04-06,"Apr 6, 2026","Transcript of Case Management Conference held on March 18, 2026, before Magistrate Judge Leda Dunn Wettre. Transcriber: King Transcription Service, LLC (973-237-6080). NOTICE REGARDING (1) REDACTION OF PERSONAL IDENTIFIERS IN TRANSCRIPTS AND (2) MOTION TO REDACT AND SEAL: The parties have seven (7) calendar days to file with the Court a Notice of Intent to Request Redaction of this Transcript to comply with Fed.R.Civ.P.5.2(a) (personal identifiers). Parties seeking to redact and seal this Transcript, or portions thereof, pursuant to L.Civ.R. 5.3(g) must e-file a Motion to Redact and Seal utilizing the event `Redact and Seal Transcript/Digital Recording`. Redaction Request to Transcription Agency due, but not filed, by 4/27/2026. Redacted Transcript Deadline set for 5/7/2026. Release of Transcript Restriction set for 7/6/2026. (mfr) (Entered: 04/21/2026)",Main Document,Transcript,PACER_ONLY_MISSING,False,,,Price not displayed; page count unknown.,,,,,,,,,,,,,,,,,https://ecf.njd.uscourts.gov/doc1/119023832244?caseid=550383,,,,https://ecf.njd.uscourts.gov/doc1/119023832244?caseid=550383,,,2,47,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/,2026-08-25T14:42:59+00:00
0188,188,0,2026-04-30,"Apr 30, 2026","Transcript of Deposition Protocol Dispute Conference held on April 27, 2026, before Magistrate Judge Leda D. Wettre. Transcriber: King Transcription Services (973-237-6080). NOTICE REGARDING (1) REDACTION OF PERSONAL IDENTIFIERS IN TRANSCRIPTS AND (2) MOTION TO REDACT AND SEAL: The parties have seven (7) calendar days to file with the Court a Notice of Intent to Request Redaction of this Transcript to comply with Fed.R.Civ.P.5.2(a) (personal identifiers). Parties seeking to redact and seal this Transcript, or portions thereof, pursuant to L.Civ.R. 5.3(g) must e-file a Motion to Redact and Seal utilizing the event `Redact and Seal Transcript/Digital Recording`. Redaction Request to Transcription Agency due, but not filed, by 5/21/2026. Redacted Transcript Deadline set for 6/1/2026. Release of Transcript Restriction set for 7/29/2026. (sks) (Entered: 05/05/2026)",Main Document,Transcript,PACER_ONLY_MISSING,False,,,Price not displayed; page count unknown.,,,,,,,,,,,,,,,,,https://ecf.njd.uscourts.gov/doc1/119023889728?caseid=550383,,,,https://ecf.njd.uscourts.gov/doc1/119023889728?caseid=550383,,,2,58,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/,2026-08-25T14:42:59+00:00
0216,216,0,2026-06-26,"Jun 26, 2026","Transcript of Hearing held on June 23, 2026 before Judge Leda D. Wettre. Court Transcriber: King Transcription Services (973-237-6080). NOTICE REGARDING (1) REDACTION OF PERSONAL IDENTIFIERS IN TRANSCRIPTS AND (2) MOTION TO REDACT AND SEAL: The parties have seven (7) calendar days to file with the Court a Notice of Intent to Request Redaction of this Transcript to comply with Fed.R.Civ.P.5.2(a) (personal identifiers). Parties seeking to redact and seal this Transcript, or portions thereof, pursuant to L.Civ.R. 5.3(g) must e-file a Motion to Redact and Seal utilizing the event `Redact and Seal Transcript/Digital Recording`. Redaction Request to Court Transcription Agency due, but not filed, by 7/17/2026. Redacted Transcript Deadline set for 7/27/2026. Release of Transcript Restriction set for 9/24/2026. (msd) (Entered: 06/29/2026)",Main Document,Transcript,PACER_ONLY_MISSING,False,,,Price not displayed; page count unknown.,,,,,,,,,,,,,,,,,https://ecf.njd.uscourts.gov/doc1/119024105199?caseid=550383,,,,https://ecf.njd.uscourts.gov/doc1/119024105199?caseid=550383,,,2,86,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/,2026-08-25T14:42:59+00:00
0227,227,0,2026-07-09,"Jul 9, 2026","DECLARATION of Jason Lo re 226 Letter Brief for Reconsideration of Special Master Order by APPLE, INC.. (Attachments: # 1 Declaration of Larry Barela, # 2 Declaration of Clayton Leech, # 3 Declaration of Robert D. Keeling)(WALSH, LIZA)NOTICE TO COUNSEL: Counsel is advised that pursuant to Local Civil Rule 5.3(c)(2), a single, consolidated motion to seal shall be filed within 14 days following the completed briefing of the materials sought to be sealed, or within 14 days following the date on which the last of such materials was filed under temporary seal if the motion is resolved, unless otherwise directed by the Court. Counsel are further advised that service of sealed documents must be accomplished outside of ECF as provided by Federal R. Civ. Pro. 5(b)(2) only. (Entered: 07/09/2026)",Main Document,Declaration,PACER_ONLY_MISSING,False,,,Price not displayed; page count unknown.,,,,,,,,,,,,,,,,,https://ecf.njd.uscourts.gov/doc1/119024155840?caseid=550383,,,,https://ecf.njd.uscourts.gov/doc1/119024155840?caseid=550383,,,2,98,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/,2026-08-25T14:42:59+00:00
0231,231,0,2026-07-13,"Jul 13, 2026","Letter from Jennifer R. Scullion re 226 Letter. (Attachments: # 1 Declaration of Frazar Thomas)(SCULLION, JENNIFER)NOTICE TO COUNSEL: Counsel is advised that pursuant to Local Civil Rule 5.3(c)(2), a single, consolidated motion to seal shall be filed within 14 days following the completed briefing of the materials sought to be sealed, or within 14 days following the date on which the last of such materials was filed under temporary seal if the motion is resolved, unless otherwise directed by the Court. Counsel are further advised that service of sealed documents must be accomplished outside of ECF as provided by Federal R. Civ. Pro. 5(b)(2) only. (Main Document 231 and Attachment 1 replaced on 8/14/2026 per Order 279 ) (dmr, ). (Entered: 07/13/2026)",Main Document,Letter,PACER_ONLY_MISSING,False,,,Price not displayed; page count unknown.,,,,,,,,,,,,,,,,,https://ecf.njd.uscourts.gov/doc1/119024164938?caseid=550383,,,,https://ecf.njd.uscourts.gov/doc1/119024164938?caseid=550383,,,2,102,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/,2026-08-25T14:42:59+00:00
0231-001,231,1,2026-07-13,"Jul 13, 2026","Letter from Jennifer R. Scullion re 226 Letter. (Attachments: # 1 Declaration of Frazar Thomas)(SCULLION, JENNIFER)NOTICE TO COUNSEL: Counsel is advised that pursuant to Local Civil Rule 5.3(c)(2), a single, consolidated motion to seal shall be filed within 14 days following the completed briefing of the materials sought to be sealed, or within 14 days following the date on which the last of such materials was filed under temporary seal if the motion is resolved, unless otherwise directed by the Court. Counsel are further advised that service of sealed documents must be accomplished outside of ECF as provided by Federal R. Civ. Pro. 5(b)(2) only. (Main Document 231 and Attachment 1 replaced on 8/14/2026 per Order 279 ) (dmr, ). (Entered: 07/13/2026)",Attachment 1,Declaration of Frazar Thomas,PACER_ONLY_MISSING,False,,3,Inferred at PACER's $0.10 per PDF page rate.,,,,,,,,,,,,,,,,,https://ecf.njd.uscourts.gov/doc1/119024164939?caseid=550383,,,,https://ecf.njd.uscourts.gov/doc1/119024164939?caseid=550383,$0.30,0.30,2,102,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/,2026-08-25T14:42:59+00:00
