record_id,docket_entry,attachment_number,filed_date_iso,filed_date_display,docket_description,document_label,document_type,file_name,public_access_status,page_count_exact,pacer_billable_pages_estimate,page_count_note,size_bytes,sha256,sha1,md5,pdf_encrypted,pdf_title,pdf_author,pdf_subject,pdf_creator,pdf_producer,pdf_creation_date,pdf_modified_date,best_available_pdf_url,recap_pdf_url,internet_archive_url,courtlistener_document_url,pacer_pdf_url,pacer_price_display,pacer_price_usd,source_docket_url
0001,1,0,2024-06-07,"Jun 7, 2024",Order of MDL Panel transferring certain actions to this court. (krg) (Entered: 06/20/2024),Main Document,MDL Transfer Order (in),0001. (06-07-2024) Order of MDL Panel transferring certain actions to this court.pdf,FREE_RECAP_PDF_AVAILABLE,4,4,Exact local PDF page count.,199061,47b555c26f0631359f88842e1da3e789de2234bdfdb6a818f28f0843d74d7cfa,866e45a1b63f6c3ce38537daee7c528fed8d2235,74a04a7ef2eceea27ac362247546394f,False,,,,RICOH IM C4500,RICOH IM C4500; modified using iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version),D:20240620105635-04'00',D:20240621115151-04'00',https://storage.courtlistener.com/recap/gov.uscourts.njd.550383/gov.uscourts.njd.550383.1.0.pdf,https://storage.courtlistener.com/recap/gov.uscourts.njd.550383/gov.uscourts.njd.550383.1.0.pdf,https://archive.org/download/gov.uscourts.njd.550383/gov.uscourts.njd.550383.1.0.pdf,https://www.courtlistener.com/docket/68869775/1/shoshi-goldfus-v-apple-inc/,https://ecf.njd.uscourts.gov/doc1/119021452362?caseid=550383,$0.40,0.40,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/
0002,2,0,2024-06-20,"Jun 20, 2024","Letter from James E. Cecchi, Esq. to the Honorable Julien Xavier Neals, U.S.D.J. (Attachments: # 1 Exhibit A, # 2 Text of Proposed Case Management Order)(CECCHI, JAMES) (Entered: 06/20/2024)",Main Document,Letter,"0002. (06-20-2024) Letter from James E. Cecchi, Esq. to the Honorable Julien Xavier Neals, U.S.D.J.pdf",FREE_RECAP_PDF_AVAILABLE,3,3,Exact local PDF page count.,252530,b187d29bb6bd0949b15b0e2e0bcf89399c567c3357c12f5a8b3cea28c0756768,de0a2dda4e66196f26b3fad2dc8ed739d4b8e7c3,df180f6b28cf7873542ecd52724933ed,False,,,,,iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version); modified using iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version),,D:20240620144139-04'00',https://storage.courtlistener.com/recap/gov.uscourts.njd.550383/gov.uscourts.njd.550383.2.0_2.pdf,https://storage.courtlistener.com/recap/gov.uscourts.njd.550383/gov.uscourts.njd.550383.2.0_2.pdf,https://archive.org/download/gov.uscourts.njd.550383/gov.uscourts.njd.550383.2.0.pdf,https://www.courtlistener.com/docket/68869775/2/shoshi-goldfus-v-apple-inc/,https://ecf.njd.uscourts.gov/doc1/119021453877?caseid=550383,$0.30,0.30,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/
0002-001,2,1,2024-06-20,"Jun 20, 2024","Letter from James E. Cecchi, Esq. to the Honorable Julien Xavier Neals, U.S.D.J. (Attachments: # 1 Exhibit A, # 2 Text of Proposed Case Management Order)(CECCHI, JAMES) (Entered: 06/20/2024)",Attachment 1,Exhibit A,0002-001. (06-20-2024) Exhibit A.pdf,FREE_RECAP_PDF_AVAILABLE,9,9,Exact local PDF page count.,407665,9b72bc1a1fdbdc1c8fe6db2507adc257ad3ec62156b0e1261bc0a1cdde96f313,f644c5ae9c53c71d48795c6acb470e54d579f32b,25ea1ab59a75077e7a350a3be5c7c12f,False,,,,,iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version); modified using iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version),D:20240620141623-04'00',D:20240620144151-04'00',https://storage.courtlistener.com/recap/gov.uscourts.njd.550383/gov.uscourts.njd.550383.2.1_3.pdf,https://storage.courtlistener.com/recap/gov.uscourts.njd.550383/gov.uscourts.njd.550383.2.1_3.pdf,https://archive.org/download/gov.uscourts.njd.550383/gov.uscourts.njd.550383.2.1.pdf,https://www.courtlistener.com/docket/68869775/2/1/shoshi-goldfus-v-apple-inc/,https://ecf.njd.uscourts.gov/doc1/119021453878?caseid=550383,$0.90,0.90,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/
0002-002,2,2,2024-06-20,"Jun 20, 2024","Letter from James E. Cecchi, Esq. to the Honorable Julien Xavier Neals, U.S.D.J. (Attachments: # 1 Exhibit A, # 2 Text of Proposed Case Management Order)(CECCHI, JAMES) (Entered: 06/20/2024)",Attachment 2,Text of Proposed Case Management Order,0002-002. (06-20-2024) (Text of Proposed Case Management Order).pdf,FREE_RECAP_PDF_AVAILABLE,7,7,Exact local PDF page count.,221745,97e528edc6befb5d60a39f4160ca9c6fb0e56f5214f0afde687397956b2045da,b311823fc087a889df870046f957452505e73a3e,be4103db1d92faf2edcad08ab4d7777a,False,,,,,iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version); modified using iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version),D:20240620142414-04'00',D:20240620144204-04'00',https://storage.courtlistener.com/recap/gov.uscourts.njd.550383/gov.uscourts.njd.550383.2.2_8.pdf,https://storage.courtlistener.com/recap/gov.uscourts.njd.550383/gov.uscourts.njd.550383.2.2_8.pdf,https://archive.org/download/gov.uscourts.njd.550383/gov.uscourts.njd.550383.2.2.pdf,https://www.courtlistener.com/docket/68869775/2/2/shoshi-goldfus-v-apple-inc/,https://ecf.njd.uscourts.gov/doc1/119021453879?caseid=550383,$0.70,0.70,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/
0003,3,0,2024-06-25,"Jun 25, 2024","Order of MDL Panel transferring certain actions from the Districts of Northern California, Northern Illinois, Minnesota, and Western Pennsylvania to this court. (krg, ) (Entered: 06/25/2024)",Main Document,MDL Transfer Order (in),"0003. (06-25-2024) Order of MDL Panel transferring certain actions from the Districts of Northern California, Northern.pdf",FREE_RECAP_PDF_AVAILABLE,2,2,Exact local PDF page count.,415461,091d2d6c6eabd0094e8932bbcae599eaf2723d6369b6dfe05ee3f8bed3479b7f,a99308abdb694b886c548ab83071df7106d5777d,4ccf002aeaf3331da9ce7a65c8bb79ab,False,,,,,"htmldoc 1.8.24 Open Source Copyright 1997-2004 Easy Software Products, All Rights Reserved.; modified using iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version)",D:20240612104338+0400,D:20240625154958-04'00',https://storage.courtlistener.com/recap/gov.uscourts.njd.550383/gov.uscourts.njd.550383.3.0.pdf,https://storage.courtlistener.com/recap/gov.uscourts.njd.550383/gov.uscourts.njd.550383.3.0.pdf,https://archive.org/download/gov.uscourts.njd.550383/gov.uscourts.njd.550383.3.0.pdf,https://www.courtlistener.com/docket/68869775/3/shoshi-goldfus-v-apple-inc/,https://ecf.njd.uscourts.gov/doc1/119021478725?caseid=550383,$0.20,0.20,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/
0004,4,0,2024-06-25,"Jun 25, 2024","Letter from Liza M. Walsh to the Honorable Julien Xavier Neals, U.S.D.J.. (WALSH, LIZA) (Entered: 06/25/2024)",Main Document,Letter,"0004. (06-25-2024) Letter from Liza M. Walsh to the Honorable Julien Xavier Neals, U.S.D.J.pdf",FREE_RECAP_PDF_AVAILABLE,2,2,Exact local PDF page count.,222932,874afbc4a0da741189aef59d159dd2e152690593fd104f0dc1a2123b1875479f,d48bda7a31392ce40f651c2116299b17acd23034,aa9b136e47c57d9804570395becd8b08,False,Microsoft Word - 2024 06 24 Letter to Court re J. Cecchi Letter_107544991_7.docx,btroyan,,PScript5.dll Version 5.2.2,Acrobat Distiller 24.0 (Windows); modified using iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version),D:20240625204623-04'00',D:20240625210327-04'00',https://storage.courtlistener.com/recap/gov.uscourts.njd.550383/gov.uscourts.njd.550383.4.0_1.pdf,https://storage.courtlistener.com/recap/gov.uscourts.njd.550383/gov.uscourts.njd.550383.4.0_1.pdf,https://archive.org/download/gov.uscourts.njd.550383/gov.uscourts.njd.550383.4.0.pdf,https://www.courtlistener.com/docket/68869775/4/shoshi-goldfus-v-apple-inc/,https://ecf.njd.uscourts.gov/doc1/119021480117?caseid=550383,$0.20,0.20,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/
0005,5,0,2024-07-03,"Jul 3, 2024","Letter from James E. Cecchi, Esq. to the Honorable Julien Xavier Neals, U.S.D.J. re 2 Letter, 4 Letter. (CECCHI, JAMES) (Entered: 07/03/2024)",Main Document,Letter,"0005. (07-03-2024) Letter from James E. Cecchi, Esq. to the Honorable Julien Xavier Neals, U.S.D.J. re 2 Letter, 4 Lett.pdf",FREE_RECAP_PDF_AVAILABLE,2,2,Exact local PDF page count.,252011,d771bbeb442345e246d7a217e049bfb716308a461b68800c2ebe2fb1321ca855,5f45c57d1b2b623f8decd331fb2611944ce34bde,20d0ae44957f91ca5e5755ac6798be54,False,,,,,iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version); modified using iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version),,D:20240703104219-04'00',https://storage.courtlistener.com/recap/gov.uscourts.njd.550383/gov.uscourts.njd.550383.5.0.pdf,https://storage.courtlistener.com/recap/gov.uscourts.njd.550383/gov.uscourts.njd.550383.5.0.pdf,https://archive.org/download/gov.uscourts.njd.550383/gov.uscourts.njd.550383.5.0.pdf,https://www.courtlistener.com/docket/68869775/5/shoshi-goldfus-v-apple-inc/,https://ecf.njd.uscourts.gov/doc1/119021509240?caseid=550383,$0.20,0.20,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/
0006,6,0,2024-07-17,"Jul 17, 2024","Letter from James E. Cecchi, Esq. to the Honorable Julien Xavier Neals, U.S.D.J. Enclosing Proposed Case Management Order No. 1. (Attachments: # 1 Text of Proposed Order)(CECCHI, JAMES) (Entered: 07/17/2024)",Main Document,Letter,"0006. (07-17-2024) Letter from James E. Cecchi, Esq. to the Honorable Julien Xavier Neals, U.S.D.J. Enclosing Proposed.pdf",PACER_LINK_AVAILABLE,2,,Exact local PDF page count.,264050,76180cf64df233b51b9fe51501c19da997558520b5f2e09c7f2088145d2e44bb,4db73d868e24a08ec543dbd4a6ddf4e65ea16cd0,3dec6c9f3073ad0d6d6e4ef95f2b0b7a,False,,,,,iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version); modified using iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version),,D:20240717110616-04'00',https://ecf.njd.uscourts.gov/doc1/119021551016?caseid=550383,,,,https://ecf.njd.uscourts.gov/doc1/119021551016?caseid=550383,,,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/
0006-001,6,1,2024-07-17,"Jul 17, 2024","Letter from James E. Cecchi, Esq. to the Honorable Julien Xavier Neals, U.S.D.J. Enclosing Proposed Case Management Order No. 1. (Attachments: # 1 Text of Proposed Order)(CECCHI, JAMES) (Entered: 07/17/2024)",Attachment 1,Text of Proposed Order,0006-001. (07-17-2024) (Text of Proposed Order).pdf,PACER_LINK_AVAILABLE,7,7,Exact local PDF page count.,212929,65e2aef8980856de317386a34a25cefd93deefad3a2d0189b0024c9a4f1a46c1,6b782b1ce19dbe57f85ea9d5bee0be4e6ca1cea0,96843069249be775dc8e2897ca626756,False,,,,,iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version); modified using iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version),,D:20240717110622-04'00',https://ecf.njd.uscourts.gov/doc1/119021551017?caseid=550383,,,,https://ecf.njd.uscourts.gov/doc1/119021551017?caseid=550383,$0.70,0.70,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/
0007,7,0,2024-07-25,"Jul 25, 2024","CASE MANAGEMENT ORDER #1. Signed by Judge Julien Xavier Neals on 7/25/2024. (krg, ) (Entered: 07/25/2024)",Main Document,Order,0007. (07-25-2024) CASE MANAGEMENT ORDER #1. Signed by Judge Julien Xavier Neals on 7252024.pdf,FREE_RECAP_PDF_AVAILABLE,5,5,Exact local PDF page count.,284350,bbcc7143758fb4ba9adee595cb7bb331b82af5a4932d21f5ebdebf1acf319abe,cea13055764bec8e8e292bac8f37a780c5bceb6c,249bab99f464a0535e4cf606c630ad17,False,,Frances Tapia Mateo,,Acrobat PDFMaker 24 for Word,Adobe PDF Library 24.2.159; modified using iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version),D:20240725115730-04'00',D:20240725120357-04'00',https://storage.courtlistener.com/recap/gov.uscourts.njd.550383/gov.uscourts.njd.550383.7.0.pdf,https://storage.courtlistener.com/recap/gov.uscourts.njd.550383/gov.uscourts.njd.550383.7.0.pdf,https://archive.org/download/gov.uscourts.njd.550383/gov.uscourts.njd.550383.7.0.pdf,https://www.courtlistener.com/docket/68869775/7/shoshi-goldfus-v-apple-inc/,https://ecf.njd.uscourts.gov/doc1/119021577741?caseid=550383,$0.50,0.50,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/
